maestro's NN$ 1
Whaddya WDT+DO+PPS 1
treason NN 6
indignation NN 9
strumming VBG 1
sledding NN 2
riverbanks NNS 2
sonority NN 1
middletown NP 1
wiggling VBG 2
Ministry NN 6
Swing NP 3 NN 2
timed VBN 7 VBD 2
! . 1596
& CC 162 NP 1
' ' 317
+ NN 1
( NIL 10 ( 2425
) NIL 10 ) 2456
. . 49346
/ IN 20
, RB 1 , 58333
- IN 72 NIL 6
3 CD 285 OD 2
serenade NN 1
2 IN 1 CD 445
1 CD 526 NN 1
0 CD 22
7 CD 91 NN 3
6 CD 114
5 CD 142
salient JJ 4
4 CD 206
; . 5566
: IN 20 NIL 1 : 1718 . 54 NP 1 , 1
9 CD 62
unstrung VBN 2
8 CD 106
? NIL 1 . 4692
retiring VBG 8
mugs NNS 2
D NP 26 NN 18
relies VBZ 4
plummeting VBG 1
E NP 21 NN 12
finals NNS 3
F NP 22 NN 8
deactivation NN 2
restating VBG 1
G NP 11 NN 1
uttering VBG 2
A AT 140 NP 60 NN 50
B NP 56 NN 39
C NP 47 NN 68
sworde NN 1
L NP 6 NN 5
M NP 2 NN 13
ignorance NN 16
N NP 12 NN 19
O NP 2 UH 8 NN 12
H NP 12 NN 8
I PPSS 3780 NIL 1 NP 1 NN 4
J NP 5 NN 1
K NP 6 NN 3
relief NN 66
relied VBN 6 VBD 2
U NP 7 NN 2
T NP 36 NN 36
finale NN 6
W NP 3 NN 1
advised VBN 16 VBD 17
inefficient JJ 7
V NP 7 NN 20
Q NP 7 NN 39
P NP 15 NN 31
times NNS 261 IN 3 VBZ 1
S NP 12 NN 10
R NP 15 NN 22
swords NNS 4
] ) 1 , 1
victim's NN$ 4
Y CC 1 NP 1 NN 2
writers' NNS$ 3
X NP 4 NN 9
[ ( 1 , 1
grotesque JJ 9
Z NP 1 NN 4
f NP 2 NN 4
reclining VBG 3
g NP 1 NN 3
d NP 6
e NP 4 NN 3
b NP 6 NN 4
sobering VBG 3
c NP 5 NN 1
slated VBN 3
a AT 22930 IN 6 NIL 3 NP 4 NN 2
souls' NNS$ 1
digested VBN 1
high-ceilinged JJ 2
n NN 7
o NN 1 UH 3
astounded VBN 2
l NN 5
m NN 1
k NN 1
h NP 1 NN 2
low-heeled JJ 1
Loudon's NP$ 1
i PPSS 1375 NN 3
w NN 1
analyze VB 10
u PPO 1 NP 2 NN 1
t NN 5
Newsweek NP 1
implacable JJ 3
